Team,Seed,Wins,Losses,Win Percentage,PS,PA,PD,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,Year,Playoff,QF,SF,F,C
Phoenix Suns,1,64,18,0.78,114.8,107.3,7.5,0.485,0.364,0.797,45.3,27.4,8.6,4.4,12.9,19.9,21,1,1,0,0,0
Memphis Grizzlies,2,56,26,0.683,115.6,109.9,5.7,0.461,0.353,0.734,49.2,26,9.8,6.5,13.2,19.8,21,1,1,0,0,0
Golden State Warriors,3,53,29,0.646,111,105.5,5.5,0.469,0.364,0.769,45.5,27.1,8.8,4.5,14.9,21,21,1,1,1,1,1
Miami Heat,1,53,29,0.646,110,105.6,4.4,0.467,0.379,0.808,43.7,25.5,7.4,3.2,14.6,20.5,21,1,1,1,0,0
Dallas Mavericks,4,52,30,0.634,108,104.7,3.3,0.461,0.35,0.771,43,23.4,6.7,4,12.5,19.7,21,1,1,1,0,0
Boston Celtics,2,51,31,0.622,111.8,104.5,7.3,0.466,0.356,0.816,46.1,24.8,7.2,5.8,13.6,18.5,21,1,1,1,1,0
Milwaukee Bucks,3,51,31,0.622,115.5,112.1,3.4,0.468,0.366,0.776,46.7,23.9,7.6,4,13.4,18.2,21,1,1,0,0,0
Philadelphia 76ers,4,51,31,0.622,109.9,107.3,2.6,0.466,0.364,0.821,42.3,23.7,7.7,5.3,12.5,19.4,21,1,1,0,0,0
Utah Jazz,5,49,33,0.598,113.6,107.6,6,0.36,0.471,0.767,46.3,22.4,7.2,4.9,14,18.9,21,1,0,0,0,0
Denver Nuggets,6,48,34,0.585,112.7,110.4,2.3,0.483,0.353,0.795,44.1,27.8,7.2,3.7,14.5,20,21,1,0,0,0,0
Toronto Raptors,5,48,34,0.585,109.4,107.1,2.3,0.445,0.349,0.759,45.3,22.1,9,4.6,12.5,19.6,21,1,0,0,0,0
Minnesota Timberwolves,7,46,36,0.561,115.9,113.3,2.6,0.457,0.358,0.778,44.2,25.7,8.8,5.6,14.3,21.8,21,1,0,0,0,0
Chicago Bulls,6,46,36,0.561,111.6,112,-0.4,0.48,0.369,0.813,42.3,23.9,7.1,4.1,12.8,18.8,21,1,0,0,0,0
Brooklyn Nets,7,44,38,0.537,112.9,112.1,0.8,0.475,0.361,0.805,44.4,25.3,7.1,5.5,14.1,20.4,21,1,0,0,0,0
Cleveland Cavaliers,9,44,38,0.537,107.8,105.7,2.1,0.469,0.355,0.76,44.2,25.2,7.1,4.2,14.4,17.5,21,1,0,0,0,0
Atlanta Hawks,8,43,39,0.524,113.9,112.4,1.5,0.47,0.374,0.812,44,24.6,7.2,4.2,11.9,18.7,21,0,0,0,0,0
Charlotte Hornets,10,43,39,0.524,115.3,114.9,0.4,0.365,0.468,0.74,44.6,28.1,8.6,4.9,13.3,19.9,21,0,0,0,0,0
Los Angeles Clippers,9,42,40,0.512,108.4,108.4,0,0.458,0.374,0.793,44,24,7.4,5,13.7,18.6,21,1,0,0,0,0
New York Knicks,11,37,45,0.451,106.5,106.6,-0.1,0.437,0.357,0.744,46.1,21.9,7,4.9,13.3,20.4,21,0,0,0,0,0
New Orleans Pelicans,8,36,46,0.439,109.3,110.3,-1,0.457,0.332,0.789,45.2,25,8.3,4,14.1,19.7,21,0,0,0,0,0
Washington Wizards,12,35,47,0.427,108.6,112,-3.4,0.472,0.342,0.783,43.1,25,6.4,5,13.1,18.8,21,0,0,0,0,0
San Antonio Spurs,10,34,48,0.415,113.2,113,0.2,0.467,0.352,0.754,45.3,27.9,7.6,4.9,12.7,18.1,21,0,0,0,0,0
Los Angeles Lakers,11,33,49,0.402,112.1,115.1,-3,0.469,0.347,0.732,44,24,7.6,5.2,14.5,20.2,21,0,0,0,0,0
Sacramento Kings,12,30,52,0.366,110.3,115.8,-5.5,0.46,0.344,0.768,42.9,23.7,7.2,4.5,14.1,18.9,21,0,0,0,0,0
Portland Trail Blazers,13,27,55,0.329,106.2,115.1,-8.9,0.442,0.346,0.76,42.9,22.9,8,4.5,14.5,21.1,21,0,0,0,0,0
Indiana Pacers,13,25,57,0.305,111.5,114.9,-3.4,0.463,0.344,0.768,43.9,25.4,7.1,5.6,14.4,20.4,21,0,0,0,0,0
Oklahoma City Thunder,14,24,58,0.293,103.7,111.8,-8.1,0.43,0.323,0.756,45.6,22.2,7.6,4.6,14,18.3,21,0,0,0,0,0
Detroit Pistons,14,23,59,0.28,104.8,112.5,-7.7,0.431,0.326,0.782,43,23.5,7.7,4.8,14.2,21.9,21,0,0,0,0,0
Orlando Magic,15,22,60,0.268,104.2,112.2,-8,0.434,0.331,0.787,44.3,23.7,6.8,4.5,14.5,19.7,21,0,0,0,0,0
Houston Rockets,15,20,62,0.244,109.7,118.2,-8.5,0.456,0.349,0.713,42,23.6,7.3,4.7,16.5,20.6,21,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,s,